Model,R2,RMSE,MAE,CV_R2_Mean,CV_R2_Std
Random Forest,0.9114,0.198,0.0911,0.9088,0.0078
Extra Trees,0.9054,0.2046,0.0933,0.9071,0.0064
Gradient Boosting,0.9037,0.2065,0.1049,0.9019,0.0053
XGBoost,0.9002,0.2102,0.107,0.8972,0.0057
AdaBoost,0.8532,0.2549,0.1828,0.8416,0.0124
Decision Tree,0.8375,0.2682,0.1074,0.83,0.0173
SVR,0.3846,0.5219,0.346,0.3591,0.0293
Ridge,0.2585,0.5729,0.4467,0.2497,0.0204
Linear Regression,0.2584,0.5729,0.4467,0.2497,0.0205
Lasso,-0.0018,0.6659,0.5333,-0.0001,0.0001
ElasticNet,-0.0018,0.6659,0.5333,-0.0001,0.0001
